"V2025A","V2049A","V2124","V2126B","V3020","V3032","VS0005","VS0007","VS0017","VS0022","VS0023","VS0025","VS0034","VS0038","VS0039","VS0046","VS0047","VS0048","VS0049","VS0050","VS0051","VS0052","VS0053","VS0054","VS0055","VS0146","VS0147","VS0148","VS0151","VS0057","VS0152","VS0153","VS0154","VS0155","VS0069","VS0070","VS0112","VS0138","o_bullied"
2,1,2,21,8,8,1,1,3,6,8,1,2,2,1,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,"0"
2,1,2,0,11,17,2,1,7,0,12,1,2,2,1,2,3,2,1,2,2,2,1,2,4,2,2,2,2,1,2,1,2,2,2,2,2,2,"0"
2,1,2,18,9,99,1,1,4,9,12,2,2,2,2,3,3,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,3,3,2,2,2,1,"1"
2,1,2,0,11,10,2,1,7,9,12,1,1,2,1,1,2,1,1,1,1,1,1,1,4,2,2,2,1,1,1,1,1,1,2,2,2,1,"0"
2,1,2,19,10,2,2,1,7,9,12,5,1,1,2,3,2,2,1,3,2,2,2,1,3,1,1,1,1,1,99,2,2,1,1,2,2,1,"1"
2,1,2,16,6,13,1,1,3,6,8,4,2,2,1,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,"0"
2,2,2,18,11,4,2,1,1,6,8,1,2,2,1,4,4,2,1,1,2,2,2,2,4,1,4,2,2,1,3,2,3,3,2,2,1,2,"1"
2,1,2,13,11,5,2,1,6,10,12,1,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,1,1,1,1,1,2,2,2,2,"0"
2,1,1,16,8,4,1,1,4,9,12,2,2,2,1,2,3,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,99,2,1,2,"0"
2,1,2,13,10,3,2,1,6,9,12,1,2,2,1,3,2,1,2,2,2,2,2,2,4,3,2,2,2,1,3,2,2,2,1,2,2,1,"0"
2,1,2,17,7,99,1,1,3,6,8,1,2,2,1,2,2,1,1,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,2,2,2,1,"0"
2,5,2,19,9,8,1,1,5,9,12,2,2,2,2,3,3,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,1,1,1,2,"1"
2,1,2,16,7,13,2,0,2,5,8,2,2,2,1,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,3,3,2,2,2,2,"0"
2,1,2,16,5,12,1,1,8,30,30,1,2,1,1,4,1,4,2,4,1,4,3,3,2,4,1,4,4,4,1,3,1,2,2,2,2,6,"0"
2,1,2,0,9,15,1,1,5,9,12,2,2,2,1,3,3,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,1,3,"0"
2,1,2,21,7,2,2,0,2,0,8,1,1,2,2,3,1,2,2,1,1,2,1,2,3,2,3,1,1,1,1,1,1,1,1,1,1,3,"1"
2,1,1,19,6,5,1,1,1,0,12,4,2,2,2,3,3,2,2,3,2,2,3,2,3,2,3,2,2,2,2,2,2,2,1,2,2,2,"0"
2,1,2,0,9,6,2,1,4,0,12,3,2,2,1,3,3,2,2,2,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,1,"0"
2,1,2,0,8,10,1,1,4,9,12,1,2,1,1,3,3,2,1,1,2,1,2,1,3,1,2,2,1,1,1,2,2,2,2,2,2,1,"0"
2,1,2,0,7,2,2,0,3,6,8,5,2,2,1,4,3,1,1,2,1,2,1,1,4,1,1,2,2,1,1,1,1,1,1,1,1,2,"1"
2,5,2,0,9,5,2,1,5,10,12,1,1,2,2,4,2,2,2,2,3,2,2,2,3,2,3,2,2,2,2,2,2,2,1,2,1,1,"0"
1,1,2,0,8,5,2,0,4,9,12,2,2,3,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,"0"
2,1,1,0,11,16,1,1,7,9,12,1,2,2,1,2,2,1,1,2,2,2,2,1,3,1,1,1,1,1,1,1,1,1,1,2,2,1,"0"
2,1,2,16,7,13,2,0,3,7,8,2,2,2,1,3,3,2,2,2,2,2,1,1,3,1,2,2,1,2,1,1,2,2,2,2,2,2,"0"
2,1,2,0,8,14,2,0,3,6,8,3,2,2,1,2,3,2,2,2,2,2,2,2,3,2,2,2,2,3,1,1,1,1,2,2,2,2,"1"
2,1,2,22,9,3,1,1,6,9,12,1,1,1,1,3,4,2,2,2,1,1,1,1,3,1,2,1,1,1,1,1,2,1,1,2,1,1,"1"
2,2,2,16,5,99,1,1,1,6,8,1,2,1,1,3,3,1,1,1,1,1,1,1,3,2,2,2,1,1,1,1,1,1,2,2,2,1,"0"
2,1,2,17,7,10,1,1,4,9,12,2,2,3,3,2,2,1,3,2,2,2,3,2,2,1,2,2,2,2,3,2,2,2,2,2,2,1,"0"
2,1,2,20,8,9,1,1,4,7,8,1,2,2,1,3,3,2,2,2,2,2,2,2,3,1,1,1,2,2,3,2,2,2,1,1,2,2,"1"
2,1,2,0,8,14,2,0,4,9,12,1,2,2,1,2,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,2,1,"0"
