"V2025A","V2049A","V2124","V2126B","V3020","V3032","VS0005","VS0007","VS0017","VS0022","VS0023","VS0025","VS0034","VS0038","VS0039","VS0046","VS0047","VS0048","VS0049","VS0050","VS0051","VS0052","VS0053","VS0054","VS0055","VS0146","VS0147","VS0148","VS0151","VS0057","VS0152","VS0153","VS0154","VS0155","VS0069","VS0070","VS0112","VS0138","o_bullied"
2,1,1,16,7,99,2,0,3,7,8,1,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,4,2,3,2,1,2,2,2,"0"
2,1,2,16,7,1,2,0,3,0,8,1,2,2,1,2,4,2,2,2,2,2,3,2,3,2,2,2,2,2,3,2,3,2,2,2,2,2,"0"
2,1,2,0,7,13,2,0,3,0,8,2,2,2,1,3,1,1,2,2,2,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,2,1,"1"
2,2,2,18,27,5,2,1,7,9,12,2,2,2,1,2,3,1,2,2,2,1,2,1,4,1,1,2,1,2,2,2,3,2,1,2,1,1,"0"
2,2,2,19,98,2,1,1,998,9,12,2,2,2,2,3,2,2,2,3,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,"0"
2,1,2,0,8,8,2,0,3,7,12,3,2,2,1,2,2,2,2,2,2,2,2,2,3,1,1,1,2,2,1,1,2,1,2,2,2,1,"0"
2,1,2,13,11,3,1,1,6,9,12,1,1,2,2,1,1,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,2,1,1,"0"
2,1,2,16,9,14,1,1,4,9,12,1,2,1,1,1,3,2,2,2,2,2,2,2,4,1,2,1,2,1,1,1,2,2,2,2,2,1,"0"
2,1,2,0,7,13,2,0,3,6,12,4,2,2,2,3,3,2,2,2,3,2,1,1,4,1,2,1,2,2,1,1,2,2,2,2,1,1,"0"
2,1,2,13,8,99,2,0,3,5,8,1,2,2,1,1,3,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,2,2,1,"0"
2,1,2,0,11,13,1,1,7,9,12,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,2,2,2,2,2,2,"0"
2,1,2,16,8,3,3,0,4,9,12,1,2,2,1,3,2,2,2,1,3,1,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,"0"
2,2,2,16,7,7,2,0,2,5,9,2,2,2,1,2,2,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,2,2,2,6,"0"
2,1,2,16,28,7,2,1,7,8,12,2,2,2,2,2,3,3,3,3,3,2,2,2,3,1,1,2,2,1,4,4,2,2,1,2,1,2,"0"
2,1,2,0,10,6,1,1,5,9,12,1,2,3,1,2,3,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,1,2,1,2,"0"
2,1,2,0,9,99,5,0,4,0,12,2,2,2,1,2,2,2,2,2,2,2,2,1,3,1,1,1,1,1,2,2,1,1,2,2,2,3,"0"
2,2,2,17,9,15,2,0,5,0,12,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,"0"
2,1,2,16,7,8,4,0,3,6,8,2,1,2,2,3,3,2,1,1,1,2,1,1,3,1,2,1,2,1,1,2,1,1,2,2,2,2,"0"
2,1,2,13,11,15,1,1,7,9,12,1,1,2,1,3,1,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,1,2,2,1,"0"
2,1,2,0,7,12,1,1,3,6,8,2,2,1,1,2,2,2,1,1,2,2,1,1,3,1,1,1,1,1,4,1,4,1,2,2,2,1,"0"
2,4,2,17,11,1,2,1,7,9,12,1,2,2,2,3,1,1,3,2,3,2,1,1,3,2,2,2,2,1,3,2,2,2,1,2,1,2,"0"
2,1,2,17,10,99,1,1,6,9,12,1,2,2,2,4,3,2,2,2,1,3,2,2,3,1,2,1,1,1,3,2,2,2,1,1,2,2,"0"
1,1,2,17,11,9,2,1,99,9,12,1,2,2,1,1,3,2,1,1,1,1,2,2,3,2,2,2,2,1,2,2,2,2,2,2,2,1,"0"
2,1,2,0,6,10,2,0,1,5,8,1,2,2,2,4,3,2,2,2,2,2,2,2,4,2,2,2,2,2,2,1,1,1,2,2,2,2,"1"
2,1,2,0,8,7,2,0,3,1,8,2,2,2,1,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,"0"
2,2,2,19,11,3,1,1,6,9,12,2,2,2,1,3,3,2,2,2,3,2,2,2,3,2,2,2,2,2,1,1,3,3,2,2,2,3,"0"
2,1,2,21,27,6,2,1,7,9,12,1,1,2,1,2,2,2,2,1,2,2,1,2,4,1,1,1,1,1,1,2,2,1,1,2,2,1,"0"
2,1,2,19,10,99,2,1,5,9,12,1,2,2,1,3,2,2,2,2,3,2,1,1,4,1,2,1,1,1,4,1,3,1,2,2,2,3,"0"
2,1,2,16,10,7,2,0,5,8,12,2,2,2,2,2,3,2,2,3,2,3,2,1,3,1,1,1,1,1,4,4,2,2,1,2,2,2,"0"
1,3,2,16,9,99,3,0,5,9,12,1,2,2,1,4,4,2,3,1,2,4,1,1,4,1,1,1,1,1,2,2,2,2,2,2,2,5,"0"
2,1,2,21,6,8,2,0,4,9,12,1,2,2,1,2,3,2,2,2,2,2,2,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,"0"
2,1,2,20,6,9,1,1,2,0,6,1,2,2,1,2,1,1,1,1,2,2,1,2,3,1,1,1,1,2,2,2,2,2,2,2,2,2,"0"
2,1,2,13,8,4,1,1,3,0,8,2,2,1,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,"0"
2,2,2,13,10,9,2,1,5,9,12,1,2,2,2,3,4,2,3,2,2,2,2,2,2,1,1,1,1,1,3,3,2,1,1,1,1,3,"1"
2,1,2,13,27,6,2,1,6,6,12,1,2,2,2,3,4,2,3,3,2,3,2,2,3,2,1,2,2,1,3,2,2,2,2,2,2,3,"0"
2,1,2,17,7,2,1,1,3,6,8,1,2,2,2,3,3,1,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,1,3,"1"
2,1,2,0,5,12,1,1,1,6,8,1,2,2,1,3,3,1,1,2,2,2,1,1,3,1,2,1,2,2,1,1,1,1,2,2,2,2,"0"
2,1,2,21,8,99,2,1,3,0,8,2,1,2,1,4,3,2,3,3,2,3,1,2,3,1,2,1,2,2,99,2,2,99,2,2,2,6,"1"
2,1,2,13,9,7,1,1,6,10,12,1,2,2,1,1,2,1,1,1,1,2,1,1,4,2,1,1,1,1,4,1,1,1,1,2,2,2,"0"
2,1,2,13,7,4,1,1,2,6,8,3,2,2,1,4,3,1,1,1,1,1,1,1,3,2,2,2,1,2,1,1,1,1,2,2,2,1,"0"
2,1,2,16,7,3,3,0,3,0,12,1,2,2,1,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,"0"
2,3,2,13,8,14,2,0,4,9,12,3,2,2,3,3,3,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,5,"0"
2,2,2,0,27,99,1,1,6,9,12,1,1,3,1,3,1,2,2,3,2,2,1,2,2,2,2,2,2,1,1,1,1,2,1,2,1,3,"0"
2,1,1,13,6,8,1,1,1,0,6,1,2,2,1,3,4,2,1,2,3,1,2,1,3,2,1,2,1,1,4,1,3,1,2,2,2,3,"1"
1,1,1,16,6,2,1,1,1,6,8,1,2,2,1,3,3,3,3,2,2,2,2,1,1,1,2,2,2,2,3,2,2,2,2,2,2,2,"0"
2,1,2,17,6,6,3,0,1,6,8,2,2,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,1,2,2,2,1,2,"0"
2,1,2,16,10,14,1,1,6,9,12,1,2,2,2,3,2,2,2,1,2,3,2,2,3,2,3,2,2,1,1,1,2,2,1,2,1,2,"0"
2,1,2,13,6,2,2,0,2,6,8,1,2,2,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,"0"
2,1,2,0,7,13,1,1,3,7,8,3,2,2,1,3,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,2,2,3,"1"
2,1,1,0,8,14,4,0,4,0,12,2,2,2,1,2,3,3,3,2,2,2,3,2,1,1,2,2,1,1,2,1,2,2,1,2,2,1,"0"
2,2,2,0,8,10,3,0,4,9,12,2,2,1,1,1,3,1,2,2,1,2,2,2,3,2,2,1,2,2,2,2,2,2,1,2,1,2,"0"
2,1,2,13,8,1,2,1,5,9,12,1,2,2,1,2,2,2,2,2,2,2,2,2,3,1,2,1,2,1,1,1,1,2,2,2,2,2,"0"
2,1,1,0,11,4,1,1,7,9,12,1,2,2,1,3,1,1,1,1,2,1,1,1,4,2,1,1,1,1,4,1,1,1,2,2,2,3,"0"
2,1,2,21,9,6,2,1,7,9,12,1,2,2,1,1,1,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,"0"
2,1,2,16,9,6,2,1,4,9,12,4,2,2,1,1,2,1,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,1,"0"
2,2,1,19,9,1,2,1,4,9,12,2,2,1,1,3,3,1,1,1,3,2,1,1,4,1,1,1,1,1,3,2,3,2,1,2,2,2,"0"
2,1,2,16,8,2,3,0,3,5,8,1,2,2,1,2,2,1,2,2,1,1,2,2,3,1,1,2,2,1,2,2,2,2,1,2,2,1,"0"
1,1,2,16,11,17,1,1,7,9,12,2,1,2,1,1,2,1,2,2,2,1,2,2,3,2,2,2,2,1,1,1,4,99,2,2,2,1,"0"
2,1,2,0,10,12,2,1,6,9,12,1,1,2,1,2,2,2,2,2,2,2,1,1,4,2,2,2,1,1,1,1,1,1,2,2,2,1,"0"
2,1,2,0,6,4,1,1,2,6,8,3,2,2,2,4,4,1,4,4,1,3,3,2,2,1,1,1,1,3,1,1,3,2,1,1,1,3,"0"
2,1,2,17,9,99,1,1,5,9,12,2,2,2,2,2,4,3,4,99,3,2,1,4,2,2,2,2,2,2,99,2,2,2,99,1,2,2,"0"
2,1,2,13,9,1,2,1,5,0,12,2,2,2,1,3,2,1,1,1,1,2,1,1,3,1,1,1,2,1,1,2,2,2,2,2,2,2,"1"
2,2,2,0,10,3,1,1,5,9,12,3,2,1,2,3,4,2,3,1,2,2,3,3,2,2,2,2,1,1,2,2,2,2,2,1,1,2,"0"
2,1,1,0,9,11,1,1,4,9,12,1,2,2,1,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,3,2,3,3,1,2,2,1,"1"
2,1,2,0,11,18,1,1,7,9,12,1,2,2,1,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,"0"
2,1,2,22,10,14,1,1,7,9,12,2,2,1,1,1,3,1,1,1,1,1,1,1,4,1,1,1,1,1,3,1,1,1,2,2,2,2,"0"
2,1,1,13,7,6,2,0,3,7,12,1,2,2,1,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,1,1,1,1,2,2,2,2,"0"
2,1,2,16,8,7,1,1,4,9,10,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,"0"
2,1,2,13,8,7,1,1,4,9,12,1,2,2,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,"0"
2,1,2,13,11,6,2,1,6,9,12,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,3,"0"
2,1,2,17,8,4,2,1,4,9,12,1,2,2,1,3,3,1,2,2,2,2,1,1,4,2,2,2,2,2,1,1,1,1,2,2,2,2,"0"
1,1,2,16,6,10,2,1,3,5,8,2,2,2,2,2,3,2,2,3,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,1,2,"0"
2,1,2,13,7,8,1,1,1,0,8,1,2,2,1,3,3,2,2,1,3,1,1,1,4,1,1,1,1,1,1,2,2,1,2,2,2,2,"1"
2,1,2,18,8,99,2,0,3,6,8,2,2,2,1,4,4,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,"0"
1,1,2,21,7,6,1,1,3,0,8,1,2,2,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1,"0"
2,1,2,0,7,1,1,1,3,7,8,1,2,2,2,2,2,2,2,2,2,3,2,2,3,1,2,2,2,1,1,2,2,2,1,2,2,3,"1"
2,1,2,0,5,1,1,1,1,6,8,3,2,2,1,4,3,2,2,2,3,2,2,2,4,2,2,2,3,2,2,2,2,2,2,2,2,1,"1"
